name,sku,status,quantity,my_price_cad,official_price_usd,official_url,image_url,source_column_1,source_column_12,source_column_2,source_title,source_price,source_plus_gst,source_sell_price,source_35_percent,source_profit,source_profit_percent,source_status,source_type,source_summary_status,source_summary_value,source_summary_count,source_summary_total,source_extra
Amuseables Life Ring,A2LF,Not in stock,0,130.00,75.00,https://us.jellycat.com/amuseables-life-ring/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Life+Ring&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Life Ring,Jellycat Amuseables Life Ring,105.00,110.25,130.00,150.00,19.75,17.91%,,,,,,,
"Amuseables Macaron (Mona, Max, Mia)",,Not in stock,0,50.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Macaron+%28Mona%2C+Max%2C+Mia%29,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Macaron+%28Mona%2C+Max%2C+Mia%29&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,"Amuseables Macaron (Mona, Max, Mia)","Jellycat Amuseables Macaron (Mona, Max, Mia)",30.00,31.50,50.00,45.00,18.50,58.73%,,,,,,,
Amuseables Macaron brown,,Not in stock,0,50.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Macaron+brown,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Macaron+brown&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Macaron brown,Jellycat Amuseables Macaron brown,30.00,31.50,50.00,45.00,18.50,58.73%,0-Karen,Karen,,,,,
Amuseables Macaron green,,Not in stock,0,50.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Macaron+green,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Macaron+green&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Macaron green,Jellycat Amuseables Macaron green,30.00,31.50,50.00,45.00,18.50,58.73%,0-Karen,Karen,,,,,
Amuseables Margaux Madeleine,A6MAD,Not in stock,0,60.00,28.00,https://us.jellycat.com/amuseables-margaux-madeleine/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Margaux+Madeleine&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Margaux Madeleine,Jellycat Amuseables Margaux Madeleine,38.00,39.90,60.00,55.00,20.10,50.38%,,,,,,,
Amuseables May Macaron (Lavender),A6MACL,Not in stock,0,55.00,25.00,https://us.jellycat.com/amuseables-may-macaron-lavender/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+May+Macaron+%28Lavender%29&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables May Macaron (Lavender),Jellycat Amuseables May Macaron (Lavender),35.00,36.75,55.00,50.00,18.25,49.66%,,,,,,,
Amuseables Mirielle St. Honoré,,Not in stock,0,75.00,38.00,https://us.jellycat.com/amuseables-mirielle-st-honore/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Mirielle+St.+Honor%C3%A9&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Mirielle St. Honoré,Jellycat Amuseables Mirielle St. Honoré,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Mulshi Woodland Floor,,Not in stock,0,75.00,38.00,https://us.jellycat.com/amuseables-mulshi-woodland-floor/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Mulshi+Woodland+Floor&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Mulshi Woodland Floor,Jellycat Amuseables Mulshi Woodland Floor,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Ort & Tum Acorns,,Not in stock,0,75.00,38.00,https://us.jellycat.com/amuseables-ort-tum-acorns/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Ort+%26+Tum+Acorns&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Ort & Tum Acorns,Jellycat Amuseables Ort & Tum Acorns,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Pair of Olives,,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-pair-of-olives/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Pair+of+Olives&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Pair of Olives,Jellycat Amuseables Pair of Olives,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
